nome_evento,edicao,abrangencia,tamanho,segmento,acesso_evento,mes_evento,data_inicio,data_fim,local,cidade,uf,promotor,telefone,site_feira
Fenamoda,,Regional,de 1.000 a 5.000,Setores Têxtil e Têxtil Confeccionista,Aberto ao público,janeiro,01 de janeiro de 2026,20 de fevereiro de 2026,Shopping Verão Porto Seguro,Porto Seguro,BA,Expo Tricot,35 99126-5365,http://www.instagram.com/fenatricot/
Deep Into Zouk,,Nacional,de 1.000 a 5.000,"Radio,TV, Música, Cine, Foto, Imagem e Som",Aberto ao público mediante ingresso,janeiro,03 de janeiro de 2026,06 de janeiro de 2026,Rio de Janeiro,Rio de Janeiro,RJ,Núcleo de Dança Renata Peçanha,21 99265-5035,http://www.instagram.com/riozoukcongress/
Gran Bazar - Feira Critiva Inclusiva,,,de 1.000 a 5.000,Feiras Multisetoriais,Aberto ao público,janeiro,03 de janeiro de 2026,04 de janeiro de 2026,Praça do Aquário,Santos,SP,Setup Eventos,13 97409-5540,http://www.instagram.com/granbazarsantos/
Festival Rhema 2026,,Regional,de 1.000 a 5.000,"Radio,TV, Música, Cine, Foto, Imagem e Som",Aberto ao público,janeiro,05 de janeiro de 2026,10 de janeiro de 2026,Igreja Presbiteriana Luz,Goiânia,GO,Festival Rhema,62 99143-7486,http://www.festivalrhema.art.br
RZC 2026 - Rio Zouk Congress 2026,,Nacional,de 1.000 a 5.000,"Radio,TV, Música, Cine, Foto, Imagem e Som",Aberto ao público mediante ingresso,janeiro,08 de janeiro de 2026,11 de janeiro de 2026,Rio de Janeiro,Rio de Janeiro,RJ,Núcleo de Dança Renata Peçanha,21 99265-5035,http://www.instagram.com/riozoukcongress/
Rodeio Laço do Mangueira Velha,58ª edição,Regional,de 1.000 a 5.000,"Agropecuário, Comercial e Industrial",Aberto ao público,janeiro,09 de janeiro de 2026,11 de janeiro de 2026,CTG Laço da Mangueira Velha,São Joaquim,SC,CTG Laço da Mangueira Velha,,http://www.instagram.com/ctgmangueiravelha/
FENAHALL 2026 - Feira Nacional de Artesanato do Classic Hall,23ª edição,Nacional,acima de 10.000,"Artesanato, Artes e Coleções",Aberto ao público,janeiro,09 de janeiro de 2026,18 de janeiro de 2026,Classic Hall,Olinda,PE,Viva Pernambuco Turismo,81 3427-7500,http://www.instagram.com/fenahall.pe/
Expo Verão Aracaju,,Regional,acima de 10.000,Feiras Multisetoriais,Aberto ao público,janeiro,09 de janeiro de 2026,25 de janeiro de 2026,Praça de Eventos da Orla,Aracaju,SE,Expo Verão Aracaju,79 99909-3267,http://www.instagram.com/expoverao/
Salão do Artesanato Paraibano (Salão do Artesanato da Paraíba) (João Pessoa),41ª edição,Regional,acima de 10.000,"Artesanato, Artes e Coleções",Aberto ao público,janeiro,09 de janeiro de 2026,01 de fevereiro de 2026,Hotel Tambaú,João Pessoa,PB,Governo da Paraíba,83 3218-4545,http://www.instagram.com/artesanatopap/
Festival Sabores da Vindima,,Regional,de 1.000 a 5.000,Alimentos e Bebidas,Aberto ao público,janeiro,10 de janeiro de 2026,10 de janeiro de 2026,Vinícola Salton,Bento Gonçalves,RS,Festival Sabores da Vindima,,http://www.instagram.com/festivalsaboresdavindima/
